edname,small_area,vector
Blanchardstown-Blakestown,267028070,0.030846236879990267
Lucan-Esker,267100024,0.030842891632983465
Donabate,267065025,0.030840418910034122
Baldoyle,267004006,0.030832838259275467
Lucan-Esker,267100083,0.030742694082241864
Dubber,267066002,0.03073711898643227
The Ward,267158010,0.030731218069266715
Balbriggan Rural,267002018,0.030702692041890623
Lusk,267104027,0.03070034504972596
Rush,267118018,0.030681810053095126
Blanchardstown-Blakestown,267028081,0.03065817905037537
Castleknock-Knockmaroon,267040032,0.0306424777878135
Skerries,267123004,0.03061886038810619
Shankill-Rathmichael,267120005,0.030613666349381487
Balbriggan Urban,267003005,0.030602241197340115
Skerries,267123012,0.0305829120268931
Glencullen,267092039,0.030581578772488092
Blanchardstown-Blakestown,267028077/02,0.030549373383796152
The Ward,267158011/02,0.030486394545213347
The Ward,267158017,0.03048411366327042
Glencullen,267092033,0.030451176092597208
Balbriggan Rural,267002010,0.030431677434850278
The Ward,267158023,0.030406280686328592
Glencullen,267092044,0.030387794079044347
Balbriggan Rural,267002013,0.030383797534673813
Balbriggan Rural,267002021,0.030371996985454813
Balbriggan Rural,267002024,0.030362605068532163
Swords-Forrest,267132016,0.030356789389513344
Blanchardstown-Blakestown,267028111,0.030354645550096874
Clondalkin-Dunawley,267049007,0.030327348687316374
Glencullen,267092042,0.030289774819600084
Balbriggan Rural,267002031,0.030274732969582916
The Ward,267158019,0.030272036801051554
Lusk,267104004,0.03026515664984623
Malahide West,267106003,0.030249621257687542
Swords-Glasmore,267131015,0.03019754126697271
Swords-Lissenhall,267133021,0.030191798836002634
Balbriggan Rural,267002026,0.03016759457043253
The Ward,267158024,0.03015998191860976
Blanchardstown-Coolmine,267029035,0.030155777394980644
Swords-Lissenhall,267133005,0.030154412319423597
Newcastle,267107010,0.030151449314098105
The Ward,267158018,0.030072609184420198
Blanchardstown-Coolmine,267029027,0.030065450829797332
Clondalkin-Monastery,267050037,0.03006512887010331
The Ward,267158004,0.030048280775759127
Balbriggan Rural,267002040,0.0300275963895824
The Ward,267158013,0.030020015247248472
Dubber,267066020,0.03000533215558416
Blanchardstown-Blakestown,267028077/01,0.029964714989598216
Blanchardstown-Blakestown,267028102,0.029946028067952386
Swords-Forrest,267132009,0.029932755641927274
Newcastle,267107011,0.029927969993596072
Swords-Glasmore,267131011,0.029906985722957018
Tallaght-Jobstown,267140015,0.029886513461781002
Balbriggan Rural,267002012,0.02987546339580145
Castleknock-Knockmaroon,267040033,0.029871871024713285
Swords-Lissenhall,267133024,0.029869903620808835
Lucan-Esker,267100023,0.029841814920157365
Blanchardstown-Delwood,267031017,0.029840041205262468
Swords-Forrest,267132001/02,0.029823301318139393
Bohernabreena,267035014,0.02979423747627185
