edname,small_area,vector
Whitehall A,268157010,0.014235715552842566
Newcastle,267107009,0.01423166995679285
Raheny-Greendale,268125007,0.014228028810218268
Beaumont F,268026008,0.014225492646940188
Baldoyle,267004016,0.014224889348211207
Beaumont C,268023005,0.014222186322474118
Grange C,268073001,0.014218137380090418
Ballygall C,268011009,0.014217479471877991
Blanchardstown-Corduff,267030005,0.014213051411630756
Beaumont B,268022006,0.014211374763857813
Finglas South D,268069001,0.014207679276628344
Blanchardstown-Coolmine,267029010,0.014207633308932422
Tallaght-Kilnamanagh,267142003,0.014206361352667566
Swords-Glasmore,267131013,0.014198793707994022
Ayrfield,268008016,0.014198028142354779
Baldoyle,267004015,0.01419300771721078
Tallaght-Tymon,267148002,0.014189712031483845
Beaumont B,268022007,0.014183754281475612
Ballinteer-Ludford,267009004,0.014176619042221636
Templeogue-Cypress,267149007,0.014174645571224593
Beaumont E,268025006,0.014174444554176274
Ballinteer-Meadowmount,267012003,0.014169914373620661
Priorswood A,268121003,0.01416881054157374
Raheny-Foxfield,268124008,0.0141687782150412
Beaumont D,268024005,0.014158449122546343
Templeogue-Cypress,267149002,0.0141528501285134
Rathcoole,267112010,0.014150456279333713
Swords Village,267135008,0.014147492862785726
Rathcoole,267112009,0.014142949965422641
Tallaght-Glenview,267139004,0.014141049558337433
Tallaght-Oldbawn,267146004,0.014131356259979593
Holmpatrick,267094011,0.01412698177321347
Tallaght-Springfield,267147001,0.01412521682910813
Rathcoole,267112007,0.014115784108537572
Tallaght-Kilnamanagh,267142009,0.014115677200151342
Kilmore D,268087002,0.01411081486304755
Grange C,268073003,0.014099388515311707
Malahide West,267106022,0.014094337528932629
Grange E,268075006,0.014092282159190445
Swords-Forrest,267132033,0.01408541025244139
Clondalkin-Rowlagh,267052002,0.014085160892462865
Tallaght-Kingswood,267144002,0.01408426293729582
Blanchardstown-Corduff,267030009,0.014083525491569214
Raheny-Greendale,268125003,0.014083438511269015
Balbriggan Urban,267003018,0.014082943755165044
Firhouse Village,267084033,0.01407293457458395
Firhouse Village,267084017,0.014072720487047108
Tallaght-Tymon,267148013,0.014072492362582184
Edenmore,268062002,0.014071114877377461
Sutton,267130003,0.014067686800711039
Swords-Lissenhall,267133003,0.01406162283004059
Firhouse Village,267084023,0.01406122268434382
Portmarnock North,267110009,0.014057315661122161
Swords-Lissenhall,267133002,0.01405494796431454
Tallaght-Killinardan,267141004,0.014051862308874796
Grange C,268073011,0.01404663618594197
Grange D,268074005,0.01404438714261876
Donabate,267065027/267065031,0.014041590475194411
Dundrum-Balally,267078016,0.014040005939995897
Portmarnock North,267110004,0.014032290761921903
Grange E,268075004,0.01403154410839202
Tallaght-Millbrook,267145011,0.014028079019153535
Balbriggan Urban,267003027,0.014027674941718618
Swords-Lissenhall,267133029,0.014025039400088306
Clondalkin-Rowlagh,267052006,0.01402416150277755
Clondalkin-Moorfield,267051006,0.014022891580110396
Templeogue-Orwell,267152003,0.014009846390980617
Beaumont A,268021011,0.013999990391817176
Priorswood E,268123005,0.013998856400997439
Tallaght-Killinardan,267141009,0.013997983985739839
Churchtown-Nutgrove,267044005,0.013997774928317865
Swords-Glasmore,267131006,0.013995914260606484
Raheny-Foxfield,268124007,0.013986465996520522
Kilsallaghan,267098004,0.01398197363530389
Blanchardstown-Roselawn,267033006,0.013981221213287763
Firhouse Village,267084031,0.013977955170765822
Tallaght-Belgard,267137001,0.01397540650966996
Firhouse Village,267084030,0.013969994293752973
Dundrum-Balally,267078020,0.0139673093872768
Shankill-Rathsallagh,267121001,0.013962394536125819
Killiney South,267097018,0.0139606320016254
Tallaght-Killinardan,267141011,0.013960151450076674
Ballymun C,268017007,0.013960037810182175
Malahide West,267106006,0.013953119833079832
Firhouse Village,267084036,0.013952989974070157
Shankill-Rathsallagh,267121005,0.01394602948388982
Ayrfield,268008006,0.013945714766804243
Rush,267118019,0.013945404492896985
Grange A,268071005,0.01393807270561436
Portmarnock North,267110010,0.01393444110632807
Dundrum-Balally,267078018,0.013932908373880934
Firhouse Village,267084035,0.01393115052151089
Tallaght-Avonbeg,267136007,0.013929619846134646
Ballinteer-Broadford,267008005,0.013926149484453938
Lucan-St. Helen's,267103020,0.013915134013593736
Shankill-Rathsallagh,267121006,0.013912090488176281
Tallaght-Belgard,267137006,0.013910485417351624
Ashtown A,268006003,0.013910007024080974
Clondalkin-Rowlagh,267052005,0.013899747641100418
Blanchardstown-Delwood,267031018,0.013893867859935707
Beaumont A,268021008,0.013891462080269243
Ballymun F,268020009,0.01388798496967276
Palmerston West,267109016,0.013884736006511012
Swords-Glasmore,267131003,0.013876949482086108
Blanchardstown-Delwood,267031006,0.013874813349666731
Swords-Glasmore,267131005,0.013865286614184387
Raheny-Foxfield,268124003,0.013864348690481915
Kimmage C,268092007,0.013858455995568744
Beaumont D,268024003,0.013854906444586635
Palmerston Village,267108016,0.013853245908619093
Grange C,268073010,0.01385020916034743
Firhouse Village,267084024,0.013848364156569353
Pembroke East A,268110017,0.013844679996618214
Tallaght-Tymon,267148011,0.013830181242483657
Ballyboden,267013003,0.013828454128673019
Terenure-Cherryfield,267155009,0.013826593828242318
Swords-Glasmore,267131014,0.013824706123941651
Ballinteer-Ludford,267009005,0.013823222898655953
Portmarnock North,267110008,0.013820299262631326
Grange D,268074009,0.013820271595008664
Tallaght-Springfield,267147022,0.013819296124635984
Cabinteely-Kilbogget,267037007,0.013818541697787562
Tallaght-Springfield,267147010,0.013815606511837794
Clondalkin-Monastery,267050016,0.013815536659427478
Tallaght-Oldbawn,267146012,0.013814422748862772
Clondalkin-Moorfield,267051007,0.0138119081349916
Clondalkin-Rowlagh,267052007,0.013802767554001366
Swords-Glasmore,267131007,0.013791903660887
Blanchardstown-Roselawn,267033002,0.013788760624743693
Ballinteer-Ludford,267009003,0.013785715125268517
Shankill-Rathsallagh,267121004,0.013784452850700195
Swords-Lissenhall,267133027,0.013781273791123197
