edname,small_area,vector
Swords-Glasmore,267131007,0.013791903660887131
Blanchardstown-Roselawn,267033002,0.013788760624744057
Ballinteer-Ludford,267009003,0.013785715125269162
Shankill-Rathsallagh,267121004,0.01378445285069938
Swords-Lissenhall,267133027,0.013781273791123577
Lucan-St. Helen's,267103022,0.013778071961095708
Beaumont D,268024004,0.013777183150746776
Blanchardstown-Blakestown,267028026,0.013769530658301145
Dún Laoghaire-Sallynoggin South,267073006,0.013768270763808071
Baldoyle,267004018,0.013767523040743308
Priorswood A,268121001,0.01376735313925348
Blanchardstown-Coolmine,267029016,0.01376734954620024
Priorswood C,268119004,0.013765751562082918
Ballybrack,267015001,0.01376127244628429
Blanchardstown-Roselawn,267033004,0.013759331215162743
Tallaght-Avonbeg,267136001,0.013754501972088587
Finglas South C,268068003,0.013752095901993878
Blanchardstown-Corduff,267030012,0.013750841892030715
Grange E,268075008,0.013737893658304353
Clondalkin-Dunawley,267049029,0.01373725538281561
Whitehall C,268159006,0.013733538619192345
Kilmore D,268087001,0.013728130951727894
Killiney South,267097008,0.013728017949724195
Finglas South C,268068009,0.013718442429619872
Raheny-St. Assam,268126002,0.013713702376600414
Cabra East A,268030005,0.013713371090370793
Tallaght-Oldbawn,267146011,0.013711032953695693
Beaumont A,268021010,0.013709638892196134
Blanchardstown-Delwood,267031005,0.013707607212997706
Lucan Heights,267101014,0.013704229188876586
Priorswood E,268123001,0.013699579269085998
Firhouse Village,267084037,0.013699560180939131
Terenure-St. James,267157005,0.013697275632354497
Grange D,268074011,0.013694751613524077
Raheny-Greendale,268125005,0.013693820416934389
Clondalkin-Rowlagh,267052004,0.01369237489608145
Blanchardstown-Delwood,267031002,0.013684482980049461
Balbriggan Rural,267002025,0.013683373073494447
Templeogue-Orwell,267152001,0.013681057516111981
Dundrum-Balally,267078015,0.013680907845782268
Carna,268039001,0.013676430225791226
Tallaght-Kilnamanagh,267142004,0.013674744527211844
Churchtown-Nutgrove,267044008,0.013672270474353074
Holmpatrick,267094012,0.013669044725643533
Blanchardstown-Delwood,267031007,0.01366452475802908
Templeogue-Orwell,267152004,0.013662421404120322
Clondalkin-Dunawley,267049028,0.013657270463979352
Blanchardstown-Delwood,267031003,0.013652731727125052
Blanchardstown-Delwood,267031013,0.013649221981251297
Lucan-St. Helen's,267103009,0.013645324862079906
Lucan Heights,267101009,0.01364129929233981
Palmerston Village,267108006,0.0136379850862442
Rathcoole,267112008/02,0.013633892086475244
Portmarnock North,267110012,0.013632998708979669
Blanchardstown-Delwood,267031001,0.013631275845188832
Clondalkin-Moorfield,267051002,0.013630785142637623
Priorswood D,268120001,0.013627076980733165
Lucan-Esker,267100013,0.013626208072095268
Ballinteer-Ludford,267009007,0.013624443670380368
